Datum,brand,addresse,diesle,bleifrei,lat,lon
01.11.2022,Coop,"Ringstr. 31, 7000 Chur",2.25,1.89,46.85423278808594,9.513864517211914
21.10.2022,station Migrol,"en Félezin, 1032 Romanel-s-Lausanne",2.25,1.89,,
26.10.2022,Socar,"Rue Industrielle 70, 2740 Moutier",2.25,1.86,47.27397537231445,7.36326265335083
08.11.2022,Avia,"Masanserstr. 133 , 7000 Chur",2.25,1.97,46.861167907714844,9.533883094787598
08.11.2022,Eni,"Masanserstr. 61, 7000 Chur",2.25,1.97,,
18.04.2022,Tamoil,"Rte de Riddes 22, 1912 Leytron",2.25,2.08,,
26.10.2022,Coop,"Route de Delémont 13, 2830 Courrendlin",2.25,1.88,47.34088134765625,7.371483325958252
06.11.2022,Amag AG Davos,"Talstrasse 22, 7270 Davos Platz",2.25,1.92,46.79530715942383,9.82470417022705
28.10.2022,Freie Tankstelle,"Furkastrasse 401, 3998 Gluringen",2.25,1.93,46.46696090698242,8.235438346862793
26.10.2022,Jubin,"Route de France 22 , 2805 Soyhières",2.25,1.87,47.389583587646484,7.368398666381836
06.11.2022,Coop Pronto,"Talstrasse 28e, 7270 Davos Platz",2.25,1.92,46.79746627807617,9.827827453613281
12.04.2022,Garage Abegglen,"Hauptstr. 243, 3855 Brienz BE",2.25,2.01,46.74930191040039,8.053361892700195
06.11.2022,Avia,"Luzernerstr. 56, 6010 Kriens",2.25,1.92,47.034217834472656,8.28652286529541
24.10.2022,Owi-Land AG,"Brünigstr. 200, 6074 Giswil",2.25,1.95,46.82064437866211,8.177709579467773
16.10.2022,Spuntino,"San Bastiaun 55, 7503 Samedan",2.25,1.94,46.52958297729492,9.867241859436035
12.11.2022,Landi,"Rütimatt 2, 6218 Ettiswil",2.25,1.97,47.15324401855469,8.026674270629883
12.11.2022,Tamoil,"Surentalstrasse , 6210 Sursee",2.25,1.97,47.17567825317383,8.108940124511719
25.09.2022,Socar,"Willikonerstr. 66, 8618 Oetwil am See",2.25,1.98,47.265716552734375,8.729592323303223
13.03.2022,BP,"Rickenstrasse, 9630 Wattwil",2.25,2.11,47.301509857177734,9.08378791809082
01.11.2022,Coop Pronto,"Spundisstr. 11, 7000 Chur",2.25,1.89,46.846866607666016,9.501559257507324
28.10.2022,Tamoil Garage Montani SA,"Gemmistrasse 40, 3970 Salgesch",2.25,1.89,46.30121994018555,7.561203956604004
13.11.2022,Avia,"Moosbachstr. 9, 4911 Schwarzhäusern",2.25,1.93,47.254180908203125,7.766058444976807
13.03.2022,Agrola,"Steigstr. 8, 9220 Bischofszell",2.25,2.1,47.49202346801758,9.244438171386719
12.11.2022,Tamoil,"Luzernstr. 33, 6144 Zell LU",2.25,1.93,47.13701248168945,7.939981460571289
26.10.2022,Coop,"Solothurnstr. 132 , 2500 Biel/Bienne",2.25,1.89,,
13.11.2022,Shell,"Bleienbachstrasse 54, 4900 Langenthal",2.25,1.86,47.20207977294922,7.781089782714844
12.11.2022,Socar,"Moosgasse, 6210 Sursee",2.25,1.97,47.1756706237793,8.108570098876953
07.04.2022,Landi,"rte de Dizy 1, 1304 Cossonay-Ville",2.25,2.1,,
09.03.2022,Scall,"Hauptstr. 1, 5113 Holderbank AG",2.249,2.049,47.423587799072266,8.169562339782715
22.08.2022,Ruedi Rüssel,"Hendschikerstrasse 9, 5600 Lenzburg",2.24,2.05,47.39017868041992,8.183603286743164
26.10.2022,Mini Prix,"Route de Bienne 1, 2605 Sonceboz-Sombeval",2.24,1.84,47.194705963134766,7.179521083831787
06.04.2022,Coop,"Oltnerstrasse 127, 4663 Aarburg",2.24,2.06,47.336238861083984,7.9073052406311035
28.10.2022,Coop Pronto,"Bernstrasse 30, 3175 Flamatt",2.24,1.88,46.88981246948242,7.317111968994141
13.11.2022,ABC Garage R. Schlegel,"Zugerstr. 30, 6403 Küssnacht am Rigi",2.24,1.97,47.10061264038086,8.450632095336914
10.05.2022,Schachengarage,"Looweg 2, 9463 Oberriet SG",2.24,2.04,47.32221221923828,9.565377235412598
06.04.2022,Migrol Service Olten,"Aarburgerstr. 115, 4600 Olten",2.24,2.06,47.3450813293457,7.907557010650635
23.10.2022,Avia,"Bergstr. 24 a, 6410 Goldau",2.24,1.89,,
26.04.2022,Coop,"Wattstrasse 3, 9240 Uzwil",2.24,2.05,47.43518829345703,9.138829231262207
27.05.2022,Voegtlin-Meyer,"Bruggerstr. 28, 5413 Birmenstorf AG",2.24,2.11,47.46197509765625,8.244455337524414
27.05.2022,Stop+Go Garage Schneider,"Bruggerstr. 6, 5413 Birmenstorf AG",2.24,2.11,47.461063385009766,8.246809959411621
28.10.2022,Coop Pronto,"Furkastrasse, 3984 Fiesch",2.24,1.89,46.393310546875,8.12545394897461
28.10.2022,Garage Gebrueder Wyden,"Fürgangen, 3997 Bellwald",2.24,1.91,,
24.10.2022,Bp Central Garage,"Hauptstr., 3860 Meiringen",2.24,1.91,,
06.11.2022,MACRO SWISS ENERGY AG,"Sedelstr. 7, 6020 Emmenbrücke",2.24,1.89,47.070091247558594,8.285704612731934
06.11.2022,Shell,"Prätigauerstrasse, 7302 Landquart",2.24,1.93,,
06.11.2022,Coop Pronto,"Dorfstrasse 171, 7220 Schiers",2.24,1.91,,
